epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
57,94.5671,0.66761,0.79353,0.00551,0.9871,1,0.995,0.78012,0.85426,1.17351,0.00999,0.000636762,0.000636762,0.000636762
58,96.2125,0.67603,0.71458,0.00569,0.98491,1,0.995,0.78411,0.81153,1.20404,0.00922,0.000622615,0.000622615,0.000622615
59,97.8546,0.69648,0.69789,0.00511,0.98897,1,0.995,0.80292,0.80322,1.17592,0.00875,0.000608468,0.000608468,0.000608468
60,99.5061,0.71633,0.75254,0.00585,0.98409,1,0.995,0.80596,0.79754,1.1493,0.00882,0.000594321,0.000594321,0.000594321
61,101.198,0.68665,0.70911,0.00557,0.98271,1,0.995,0.79069,0.85413,1.17281,0.00998,0.000580174,0.000580174,0.000580174
62,102.904,0.67654,0.685,0.00535,0.98258,1,0.995,0.82121,0.80019,1.10262,0.00892,0.000566027,0.000566027,0.000566027
63,104.583,0.72312,0.73909,0.00564,0.98315,1,0.995,0.81333,0.75016,1.05272,0.00873,0.00055188,0.00055188,0.00055188
64,106.232,0.68546,0.66147,0.00559,0.98548,1,0.995,0.81853,0.80352,1.00263,0.00952,0.000537733,0.000537733,0.000537733
65,107.851,0.6692,0.69788,0.00529,0.98668,1,0.995,0.80633,0.84627,0.97915,0.00976,0.000523586,0.000523586,0.000523586
66,109.487,0.68565,0.67054,0.00521,0.985,1,0.995,0.77575,0.84945,1.02121,0.00979,0.000509438,0.000509438,0.000509438
67,111.207,0.6613,0.68604,0.00525,0.98581,1,0.995,0.79107,0.84112,1.0439,0.00923,0.000495291,0.000495291,0.000495291
68,112.897,0.69915,0.72765,0.00515,0.98472,1,0.995,0.77736,0.86252,1.01861,0.00942,0.000481144,0.000481144,0.000481144
69,114.543,0.68965,0.68226,0.00513,0.98155,1,0.995,0.75717,0.86786,0.98355,0.00944,0.000466997,0.000466997,0.000466997
70,116.174,0.63278,0.71337,0.00503,0.97572,1,0.995,0.75706,0.88698,0.97705,0.00969,0.00045285,0.00045285,0.00045285
71,117.824,0.6602,0.64451,0.00482,0.97513,1,0.995,0.77427,0.87952,0.98317,0.00959,0.000438703,0.000438703,0.000438703
72,119.478,0.62711,0.62918,0.00497,0.97593,1,0.995,0.79863,0.84868,0.94054,0.00967,0.000424556,0.000424556,0.000424556
73,121.175,0.67342,0.67221,0.00493,0.97618,1,0.995,0.79863,0.84364,0.92289,0.00961,0.000410409,0.000410409,0.000410409
74,122.853,0.60218,0.61871,0.00478,0.97729,1,0.995,0.79354,0.84837,0.90831,0.00953,0.000396262,0.000396262,0.000396262
75,124.519,0.65915,0.62588,0.00514,0.97927,1,0.995,0.78604,0.85409,0.8855,0.00971,0.000382115,0.000382115,0.000382115
76,126.175,0.63976,0.62651,0.0049,0.97884,1,0.995,0.79571,0.81099,0.85356,0.00889,0.000367967,0.000367967,0.000367967
77,127.811,0.65108,0.61888,0.00484,0.97977,1,0.995,0.80653,0.80342,0.84847,0.00868,0.00035382,0.00035382,0.00035382
78,129.426,0.62335,0.62925,0.00494,0.98195,1,0.995,0.79567,0.82901,0.86315,0.0089,0.000339673,0.000339673,0.000339673
79,131.052,0.62108,0.58854,0.00461,0.98466,1,0.995,0.80052,0.81842,0.85346,0.00892,0.000325526,0.000325526,0.000325526
